name,AILS-II_best,AILS-II_mean,FILO_best,FILO_mean,FILO2_best,FILO2_mean,KGLS-XXL_best,KGLS-XXL_mean,HGS-CVRP_best,HGS-CVRP_mean,SISRs_best,SISRs_mean,LKH-3_best,LKH-3_mean,OR-Tools_best,OR-Tools_mean
XL-n5526-k553,336898.0,336984.8,336956.0,337021.3,336919.0,336985.4,337665.0,337811.6,339042.0,339395.9,337486.0,337581.3,338592.0,338780.5,342031.0,342645.5
XL-n5649-k401,644866.0,644987.8,647193.0,647619.6,646145.0,646598.9,648133.0,648683.5,658001.0,658983.1,646351.0,646822.3,651205.0,656972.6,677774.0,682592.0
XL-n5774-k290,250207.0,250337.8,250720.0,250956.9,250620.0,250790.3,252642.0,252860.3,255156.0,256107.7,251586.0,251849.3,271379.0,287487.9,270908.0,279218.2
XL-n5902-k122,217447.0,217689.0,217570.0,217746.8,217509.0,217668.5,219624.0,220043.0,224048.0,225156.7,218869.0,219210.6,226131.0,226896.2,233033.0,235501.0
XL-n6034-k61,64453.0,64676.8,64543.0,64670.2,64448.0,64615.0,65997.0,66395.5,66401.0,66794.3,65402.0,65598.7,71546.0,72606.4,73530.0,74714.1
XL-n6168-k1922,1530010.0,1530476.6,1533690.0,1534292.6,1532722.0,1533331.4,1539812.0,1540593.5,1551851.0,1553139.1,1533332.0,1534231.8,,,1572323.0,1576529.3
XL-n6305-k1042,1177528.0,1177837.0,1180530.0,1181253.3,1180312.0,1180818.4,1187702.0,1188996.8,1193663.0,1194922.5,1180201.0,1181326.7,,,1225822.0,1230959.2
XL-n6445-k628,996623.0,996804.7,997809.0,998072.3,997460.0,997804.3,1000779.0,1001095.2,1010992.0,1012009.6,998149.0,998517.3,1071180.0,1083306.7,1021394.0,1022544.1
XL-n6588-k473,334068.0,334232.1,334506.0,334676.5,334486.0,334604.8,336655.0,336845.9,341531.0,342341.7,335111.0,335287.1,338623.0,339106.0,348818.0,351373.2
XL-n6734-k330,448031.0,448257.5,448666.0,448799.9,448503.0,448662.3,450438.0,450722.9,456666.0,457623.0,449414.0,449746.2,585492.0,602752.8,461789.0,462933.5
XL-n6884-k148,181809.0,181960.4,182219.0,182480.7,182092.0,182261.4,183519.0,183906.9,187702.0,188623.6,183507.0,183998.0,188731.0,189353.5,194144.0,196806.5
XL-n7037-k38,70845.0,70906.9,70975.0,71068.8,70949.0,71027.6,75357.0,76547.6,72980.0,73989.1,71624.0,72054.5,74435.0,75432.4,84412.0,86527.1
XL-n7193-k1683,2958979.0,2959237.4,2965043.0,2966154.3,2963460.0,2964390.1,2973722.0,2976353.2,2978019.0,2978644.7,2961569.0,2962056.3,,,3073256.0,3082216.0
XL-n7353-k1471,1537811.0,1537904.2,1537888.0,1537976.5,1537841.0,1537960.6,1539199.0,1539452.9,1542188.0,1542584.5,1538778.0,1538934.8,1540585.0,1540726.1,1543630.0,1544214.8
XL-n7516-k859,573902.0,574104.2,574830.0,575005.8,574760.0,575009.6,578342.0,578784.8,585696.0,586421.2,575733.0,576046.8,741224.0,753817.4,595065.0,601789.4
XL-n7683-k602,702098.0,702303.9,703019.0,703265.8,702829.0,703037.4,705500.0,705940.7,713716.0,714634.3,703893.0,704206.8,,,721032.0,722359.7
XL-n7854-k365,659221.0,659311.3,660022.0,660167.4,659594.0,659756.2,660967.0,661426.5,667319.0,668075.3,660902.0,661220.6,663822.0,664183.7,670889.0,672306.7
XL-n8028-k294,266900.0,267065.9,267322.0,267493.1,267058.0,267259.8,269230.0,269533.1,273319.0,273864.5,268989.0,269340.9,303795.0,314769.4,304826.0,326514.1
XL-n8207-k108,118274.0,118509.0,118531.0,118710.4,118392.0,118495.5,119872.0,120368.0,122006.0,122311.5,119737.0,120013.0,125375.0,126054.1,129611.0,130632.8
XL-n8389-k2028,3358731.0,3359593.2,3368875.0,3369886.8,3365882.0,3366587.9,3379011.0,3384122.1,3407551.0,3409508.7,3365665.0,3367143.4,,,3416160.0,3424086.4
XL-n8575-k1297,1089137.0,1089360.7,1089976.0,1090163.5,1089681.0,1089920.0,1094516.0,1094951.1,1108196.0,1109688.1,1090800.0,1091190.2,1111459.0,1122709.8,1124655.0,1129545.4
XL-n8766-k1032,906406.0,906592.3,907662.0,908041.4,907388.0,907754.7,911293.0,911712.8,920113.0,921125.5,909024.0,909382.8,1316029.0,1356752.8,935015.0,936239.4
XL-n8960-k634,773383.0,773515.7,774297.0,774478.0,774049.0,774194.6,776494.0,776749.0,786928.0,787574.8,774851.0,775165.8,837252.0,851958.9,790145.0,791178.6
XL-n9160-k379,324092.0,324277.1,325636.0,325988.6,324890.0,325121.9,327355.0,327773.4,331258.0,332458.5,327057.0,327894.9,335459.0,335886.5,355749.0,361374.4
XL-n9363-k209,205713.0,205842.2,205675.0,205788.7,205575.0,205690.5,207211.0,207627.8,210150.0,210705.5,206463.0,206807.3,212085.0,212825.4,219457.0,220835.1
XL-n9571-k55,106956.0,107277.8,106973.0,107247.1,106791.0,106987.1,114806.0,116005.7,113551.0,114621.1,109465.0,110061.8,119664.0,121011.0,126909.0,130501.0
XL-n9784-k2774,4078217.0,4078505.8,4080198.0,4080925.8,4078841.0,4079247.6,4088203.0,4091318.6,4108083.0,4109693.8,4080493.0,4081111.9,,,4113609.0,4119287.6
XL-n10001-k1570,2333757.0,2334348.4,2340824.0,2341299.5,2339475.0,2340196.9,2349676.0,2351638.2,2360414.0,2361177.1,2337987.0,2339332.4,,,2411189.0,2415750.7
